bs,arm,rep,wall_ms,ms_per_step,steps,pinned_dev,pinned_used_mib,tokens_sha256
1,A,0,1206.7850341796875,12.570677439371744,96,2,5,20ab6562cb47cc29e743a74f5d79dc70f9020755703c18b15b7834ed0f98a85b
1,A,1,1207.7918701171875,12.581165313720703,96,2,5,21bd850d90b01edc77d1e21dd27a6f7660f33ee24aab6ab5dbaa6fc6fa493c48
1,A,2,1206.97119140625,12.572616577148438,96,2,5,ad5239e4f5dfd303b08cca1ae30f515c644734768b0dd0246483a65469caae4d
1,B,0,1096.14794921875,11.418207804361979,96,2,5,20ab6562cb47cc29e743a74f5d79dc70f9020755703c18b15b7834ed0f98a85b
1,B,1,1097.11962890625,11.428329467773438,96,2,5,21bd850d90b01edc77d1e21dd27a6f7660f33ee24aab6ab5dbaa6fc6fa493c48
1,B,2,1096.8770751953125,11.425802866617838,96,2,5,ad5239e4f5dfd303b08cca1ae30f515c644734768b0dd0246483a65469caae4d
2,A,0,1390.9617919921875,14.489185333251953,96,2,5,4b74d2a7ec6fe862b65da420aa3e99fb9cabcd86614a70b7a739fb2cdfdba6cb
2,A,1,1391.3304443359375,14.493025461832682,96,2,7,e1e264118e2002e43966c426137395f8815e5903e7c1dc1cc90a6ce9a6c126c8
2,A,2,1393.586181640625,14.516522725423178,96,2,7,2d88b743b728bab509e805ea26228d7973ed9f32b79a5ea484b37b872c013f57
2,B,0,1264.8585205078125,13.175609588623047,96,2,5,4b74d2a7ec6fe862b65da420aa3e99fb9cabcd86614a70b7a739fb2cdfdba6cb
2,B,1,1265.064453125,13.177754720052084,96,2,7,e1e264118e2002e43966c426137395f8815e5903e7c1dc1cc90a6ce9a6c126c8
2,B,2,1270.7042236328125,13.236502329508463,96,2,5,2d88b743b728bab509e805ea26228d7973ed9f32b79a5ea484b37b872c013f57
4,A,0,1746.3203125,18.190836588541668,96,2,5,d3ad2e5e6f5209b7b9936928bf3e938b602aca03ac0e08d8afa5110254a79292
4,A,1,1754.7657470703125,18.278809865315754,96,2,5,5f6983e881c653e63feef34ed4ef6f463c9b070a4d27e85d721aacdc7373a2c4
4,A,2,1753.567138671875,18.266324361165363,96,2,5,3d36355426cfa6e589ce3694baaf776a64746db4b5169a5a57a207e8af7b3922
4,B,0,1616.8056640625,16.841725667317707,96,2,5,d3ad2e5e6f5209b7b9936928bf3e938b602aca03ac0e08d8afa5110254a79292
4,B,1,1612.072265625,16.79241943359375,96,2,5,5f6983e881c653e63feef34ed4ef6f463c9b070a4d27e85d721aacdc7373a2c4
4,B,2,1623.2144775390625,16.908484141031902,96,2,5,3d36355426cfa6e589ce3694baaf776a64746db4b5169a5a57a207e8af7b3922
8,A,0,2683.320556640625,27.951255798339844,96,2,5,a16f28aca9b6343db9cda48a146b0574e8f92d9f0115dc442beb14447005ccd5
8,A,1,2684.11962890625,27.959579467773438,96,2,5,7ce24b63c9210685e014c68213ed50601b5a7011c9c19b3646e5b87451f2ea50
8,A,2,2681.58837890625,27.933212280273438,96,2,5,a86132db067241788b283d668d2afaea70eeca72c5c1ee58a8a22d7b250f6e61
8,B,0,2504.06884765625,26.08405049641927,96,2,5,a16f28aca9b6343db9cda48a146b0574e8f92d9f0115dc442beb14447005ccd5
8,B,1,2503.46533203125,26.07776387532552,96,2,5,7ce24b63c9210685e014c68213ed50601b5a7011c9c19b3646e5b87451f2ea50
8,B,2,2495.2998046875,25.992706298828125,96,2,5,a86132db067241788b283d668d2afaea70eeca72c5c1ee58a8a22d7b250f6e61
16,A,0,4124.5830078125,42.96440633138021,96,2,5,f78b764bc52b4dd901c2e47b4ecb4290a0335bc7c19d692576aff7af22d779b7
16,A,1,4129.94970703125,43.02030944824219,96,2,5,e09df5c67d351993aba08c9712c5e345b2f89316925edd0c5424fcbb22c2a099
16,A,2,4144.4765625,43.171630859375,96,2,5,22c1720fa6c0c145029d659c7ee34d1bdf84f27dbd4d65ddca1448feb32adf06
16,B,0,3806.78125,39.653971354166664,96,2,5,f78b764bc52b4dd901c2e47b4ecb4290a0335bc7c19d692576aff7af22d779b7
16,B,1,3815.476318359375,39.744544982910156,96,2,5,e09df5c67d351993aba08c9712c5e345b2f89316925edd0c5424fcbb22c2a099
16,B,2,3832.3583984375,39.92039998372396,96,2,5,22c1720fa6c0c145029d659c7ee34d1bdf84f27dbd4d65ddca1448feb32adf06
