task_type_id,task_type_name,block_idx,group_idx,event_no,begin_ts,end_ts,duration_ns
204,TASK_SCHD_PREPARE_BATCH,4,0,0,1108475104,1108490784,15680
10,TASK_BEGIN_TASK_GRAPH,0,0,0,1104065952,1104066464,512
101,TASK_EMBEDDING,1,0,0,1104073568,1104089568,16000
154,TASK_RMS_NORM_HOPPER,2,0,0,1104090688,1104092352,1664
154,TASK_RMS_NORM_HOPPER,3,0,0,1104090688,1104092352,1664
154,TASK_RMS_NORM_HOPPER,5,0,0,1104090688,1104092256,1568
154,TASK_RMS_NORM_HOPPER,6,0,0,1104090688,1104092256,1568
154,TASK_RMS_NORM_HOPPER,7,0,0,1104090688,1104092256,1568
154,TASK_RMS_NORM_HOPPER,8,0,0,1104090688,1104092256,1568
253,TASK_LINEAR_SM100,9,0,0,1104093440,1104112896,19456
253,TASK_LINEAR_SM100,10,0,0,1104093440,1104112896,19456
253,TASK_LINEAR_SM100,11,0,0,1104093440,1104112704,19264
253,TASK_LINEAR_SM100,12,0,0,1104093440,1104112704,19264
253,TASK_LINEAR_SM100,13,0,0,1104093440,1104112704,19264
253,TASK_LINEAR_SM100,14,0,0,1104093440,1104112928,19488
253,TASK_LINEAR_SM100,15,0,0,1104093440,1104112896,19456
253,TASK_LINEAR_SM100,16,0,0,1104093696,1104112896,19200
253,TASK_LINEAR_SM100,17,0,0,1104093696,1104112896,19200
253,TASK_LINEAR_SM100,18,0,0,1104093504,1104112896,19392
253,TASK_LINEAR_SM100,19,0,0,1104093472,1104112736,19264
253,TASK_LINEAR_SM100,20,0,0,1104093696,1104112704,19008
253,TASK_LINEAR_SM100,21,0,0,1104093696,1104112736,19040
253,TASK_LINEAR_SM100,22,0,0,1104093504,1104112704,19200
253,TASK_LINEAR_SM100,23,0,0,1104093504,1104112736,19232
253,TASK_LINEAR_SM100,24,0,0,1104093696,1104112896,19200
253,TASK_LINEAR_SM100,25,0,0,1104093696,1104112896,19200
253,TASK_LINEAR_SM100,26,0,0,1104093696,1104112896,19200
253,TASK_LINEAR_SM100,27,0,0,1104093696,1104112896,19200
253,TASK_LINEAR_SM100,28,0,0,1104093504,1104112928,19424
253,TASK_LINEAR_SM100,29,0,0,1104093504,1104112928,19424
253,TASK_LINEAR_SM100,30,0,0,1104093504,1104112736,19232
253,TASK_LINEAR_SM100,31,0,0,1104093472,1104112736,19264
253,TASK_LINEAR_SM100,32,0,0,1104093696,1104112896,19200
253,TASK_LINEAR_SM100,33,0,0,1104093696,1104112896,19200
253,TASK_LINEAR_SM100,34,0,0,1104093440,1104112896,19456
253,TASK_LINEAR_SM100,35,0,0,1104093728,1104112736,19008
253,TASK_LINEAR_SM100,36,0,0,1104093696,1104112704,19008
253,TASK_LINEAR_SM100,37,0,0,1104093472,1104112704,19232
253,TASK_LINEAR_SM100,38,0,0,1104093696,1104112736,19040
253,TASK_LINEAR_SM100,39,0,0,1104093696,1104112736,19040
253,TASK_LINEAR_SM100,40,0,0,1104093696,1104112896,19200
253,TASK_LINEAR_SM100,41,0,0,1104093696,1104112928,19232
253,TASK_LINEAR_SM100,42,0,0,1104093472,1104112928,19456
253,TASK_LINEAR_SM100,43,0,0,1104093472,1104112896,19424
253,TASK_LINEAR_SM100,44,0,0,1104093728,1104112928,19200
253,TASK_LINEAR_SM100,45,0,0,1104093696,1104112928,19232
253,TASK_LINEAR_SM100,46,0,0,1104093440,1104112736,19296
253,TASK_LINEAR_SM100,47,0,0,1104093472,1104112736,19264
253,TASK_LINEAR_SM100,48,0,0,1104093408,1104112640,19232
253,TASK_LINEAR_SM100,49,0,0,1104093312,1104112672,19360
253,TASK_LINEAR_SM100,50,0,0,1104093312,1104112640,19328
253,TASK_LINEAR_SM100,51,0,0,1104093344,1104112448,19104
253,TASK_LINEAR_SM100,52,0,0,1104093344,1104112480,19136
253,TASK_LINEAR_SM100,53,0,0,1104093344,1104112448,19104
253,TASK_LINEAR_SM100,54,0,0,1104093344,1104112672,19328
253,TASK_LINEAR_SM100,55,0,0,1104093440,1104112672,19232
253,TASK_LINEAR_SM100,56,0,0,1104093280,1104112448,19168
253,TASK_LINEAR_SM100,57,0,0,1104093376,1104112448,19072
253,TASK_LINEAR_SM100,58,0,0,1104093344,1104112480,19136
253,TASK_LINEAR_SM100,59,0,0,1104093344,1104112480,19136
253,TASK_LINEAR_SM100,60,0,0,1104093312,1104112480,19168
253,TASK_LINEAR_SM100,61,0,0,1104093408,1104112480,19072
253,TASK_LINEAR_SM100,62,0,0,1104093344,1104112640,19296
253,TASK_LINEAR_SM100,63,0,0,1104093440,1104112640,19200
253,TASK_LINEAR_SM100,64,0,0,1104093696,1104112704,19008
253,TASK_LINEAR_SM100,65,0,0,1104093440,1104112704,19264
253,TASK_LINEAR_SM100,66,0,0,1104093696,1104112704,19008
253,TASK_LINEAR_SM100,67,0,0,1104093472,1104112896,19424
253,TASK_LINEAR_SM100,68,0,0,1104093440,1104112896,19456
253,TASK_LINEAR_SM100,69,0,0,1104093440,1104112896,19456
253,TASK_LINEAR_SM100,70,0,0,1104093472,1104112896,19424
253,TASK_LINEAR_SM100,71,0,0,1104093472,1104112928,19456
253,TASK_LINEAR_SM100,72,0,0,1104093440,1104112704,19264
253,TASK_LINEAR_SM100,73,0,0,1104093472,1104112704,19232
253,TASK_LINEAR_SM100,74,0,0,1104093440,1104112736,19296
253,TASK_LINEAR_SM100,75,0,0,1104093440,1104112896,19456
253,TASK_LINEAR_SM100,76,0,0,1104093696,1104112928,19232
253,TASK_LINEAR_SM100,77,0,0,1104093696,1104112928,19232
253,TASK_LINEAR_SM100,78,0,0,1104093440,1104112736,19296
253,TASK_LINEAR_SM100,79,0,0,1104093440,1104112704,19264
253,TASK_LINEAR_SM100,80,0,0,1104093312,1104112640,19328
253,TASK_LINEAR_SM100,81,0,0,1104093440,1104112640,19200
253,TASK_LINEAR_SM100,82,0,0,1104093312,1104112672,19360
253,TASK_LINEAR_SM100,83,0,0,1104093408,1104112448,19040
253,TASK_LINEAR_SM100,85,0,0,1104093376,1104112448,19072
253,TASK_LINEAR_SM100,86,0,0,1104093376,1104112480,19104
253,TASK_LINEAR_SM100,87,0,0,1104093408,1104112480,19072
253,TASK_LINEAR_SM100,88,0,0,1104093280,1104112640,19360
253,TASK_LINEAR_SM100,89,0,0,1104093376,1104112640,19264
253,TASK_LINEAR_SM100,90,0,0,1104093376,1104112640,19264
253,TASK_LINEAR_SM100,91,0,0,1104093408,1104112640,19232
253,TASK_LINEAR_SM100,92,0,0,1104093440,1104112672,19232
253,TASK_LINEAR_SM100,93,0,0,1104093376,1104112672,19296
253,TASK_LINEAR_SM100,94,0,0,1104093408,1104112480,19072
253,TASK_LINEAR_SM100,95,0,0,1104093280,1104112480,19200
253,TASK_LINEAR_SM100,96,0,0,1104093408,1104112672,19264
253,TASK_LINEAR_SM100,97,0,0,1104093408,1104112640,19232
253,TASK_LINEAR_SM100,98,0,0,1104093408,1104112640,19232
253,TASK_LINEAR_SM100,99,0,0,1104093408,1104112448,19040
253,TASK_LINEAR_SM100,100,0,0,1104093472,1104112448,18976
253,TASK_LINEAR_SM100,101,0,0,1104093280,1104112480,19200
253,TASK_LINEAR_SM100,102,0,0,1104093280,1104112480,19200
253,TASK_LINEAR_SM100,103,0,0,1104093280,1104112480,19200
253,TASK_LINEAR_SM100,104,0,0,1104093280,1104112672,19392
257,TASK_ATTN_SM100,105,0,0,1104114112,1104129056,14944
257,TASK_ATTN_SM100,106,0,0,1104114112,1104129088,14976
257,TASK_ATTN_SM100,107,0,0,1104114048,1104129088,15040
257,TASK_ATTN_SM100,108,0,0,1104114144,1104129088,14944
257,TASK_ATTN_SM100,109,0,0,1104114144,1104129088,14944
257,TASK_ATTN_SM100,110,0,0,1104114112,1104129088,14976
257,TASK_ATTN_SM100,111,0,0,1104114112,1104129088,14976
257,TASK_ATTN_SM100,112,0,0,1104114048,1104129088,15040
257,TASK_ATTN_SM100,113,0,0,1104114080,1104129088,15008
257,TASK_ATTN_SM100,114,0,0,1104114048,1104129088,15040
257,TASK_ATTN_SM100,115,0,0,1104114080,1104129088,15008
257,TASK_ATTN_SM100,116,0,0,1104114080,1104129088,15008
257,TASK_ATTN_SM100,117,0,0,1104114080,1104129088,15008
257,TASK_ATTN_SM100,118,0,0,1104114080,1104129088,15008
257,TASK_ATTN_SM100,119,0,0,1104114112,1104129088,14976
257,TASK_ATTN_SM100,120,0,0,1104114048,1104129088,15040
257,TASK_ATTN_SM100,121,0,0,1104114048,1104129056,15008
257,TASK_ATTN_SM100,122,0,0,1104114080,1104129088,15008
257,TASK_ATTN_SM100,123,0,0,1104114080,1104129088,15008
257,TASK_ATTN_SM100,124,0,0,1104114080,1104129088,15008
257,TASK_ATTN_SM100,125,0,0,1104114080,1104129088,15008
