task_type_id,task_type_name,block_idx,group_idx,event_no,begin_ts,end_ts,duration_ns
253,TASK_LINEAR_SM100,85,0,50,2524460288,2524475008,14720
253,TASK_LINEAR_SM100,86,0,50,2524510656,2524547904,37248
251,TASK_SPLITK_LINEAR_SM100,87,0,50,2524494400,2524504800,10400
251,TASK_SPLITK_LINEAR_SM100,88,0,50,2524554048,2524571008,16960
118,TASK_SILU_MUL,89,0,50,2524549088,2524551104,2016
118,TASK_SILU_MUL,90,0,50,2524550336,2524552896,2560
251,TASK_SPLITK_LINEAR_SM100,91,0,50,2524554048,2524571072,17024
253,TASK_LINEAR_SM100,92,0,50,2524510656,2524545888,35232
253,TASK_LINEAR_SM100,93,0,50,2524396864,2524431520,34656
118,TASK_SILU_MUL,94,0,50,2524548288,2524550080,1792
201,TASK_SCHD_EVENTS,95,0,50,2524546752,2524547296,544
253,TASK_LINEAR_SM100,96,0,50,2524460288,2524474816,14528
257,TASK_ATTN_SM100,97,0,50,2524594048,2524609696,15648
253,TASK_LINEAR_SM100,98,0,50,2524510656,2524548064,37408
251,TASK_SPLITK_LINEAR_SM100,99,0,50,2524552736,2524570752,18016
154,TASK_RMS_NORM_HOPPER,100,0,50,2524573920,2524577120,3200
251,TASK_SPLITK_LINEAR_SM100,101,0,50,2524552704,2524570784,18080
201,TASK_SCHD_EVENTS,102,0,50,2524476064,2524476544,480
251,TASK_SPLITK_LINEAR_SM100,103,0,50,2524494336,2524504640,10304
257,TASK_ATTN_SM100,104,0,50,2524594176,2524609696,15520
251,TASK_SPLITK_LINEAR_SM100,105,0,50,2524435872,2524454464,18592
154,TASK_RMS_NORM_HOPPER,106,0,50,2524622656,2524624160,1504
253,TASK_LINEAR_SM100,107,0,50,2524578240,2524592608,14368
253,TASK_LINEAR_SM100,108,0,50,2524396864,2524431296,34432
253,TASK_LINEAR_SM100,109,0,50,2524460288,2524474848,14560
251,TASK_SPLITK_LINEAR_SM100,110,0,50,2524552704,2524570784,18080
251,TASK_SPLITK_LINEAR_SM100,111,0,50,2524610976,2524621184,10208
201,TASK_SCHD_EVENTS,112,0,50,2524432640,2524432992,352
251,TASK_SPLITK_LINEAR_SM100,113,0,50,2524610944,2524621120,10176
201,TASK_SCHD_EVENTS,114,0,50,2524547456,2524547680,224
253,TASK_LINEAR_SM100,115,0,50,2524578336,2524592640,14304
253,TASK_LINEAR_SM100,116,0,50,2524510656,2524545440,34784
253,TASK_LINEAR_SM100,117,0,50,2524510656,2524547456,36800
251,TASK_SPLITK_LINEAR_SM100,118,0,50,2524552736,2524570784,18048
201,TASK_SCHD_EVENTS,119,0,50,2524476192,2524476544,352
253,TASK_LINEAR_SM100,120,0,50,2524626112,2524659936,33824
251,TASK_SPLITK_LINEAR_SM100,121,0,50,2524610944,2524621152,10208
253,TASK_LINEAR_SM100,122,0,50,2524460288,2524474912,14624
253,TASK_LINEAR_SM100,123,0,50,2524626112,2524661120,35008
201,TASK_SCHD_EVENTS,124,0,50,2524548256,2524548576,320
251,TASK_SPLITK_LINEAR_SM100,125,0,50,2524552736,2524570784,18048
251,TASK_SPLITK_LINEAR_SM100,126,0,50,2524552704,2524570752,18048
201,TASK_SCHD_EVENTS,127,0,50,2524548128,2524548576,448
253,TASK_LINEAR_SM100,0,0,51,2524578336,2524592800,14464
251,TASK_SPLITK_LINEAR_SM100,1,0,51,2524435936,2524455200,19264
251,TASK_SPLITK_LINEAR_SM100,2,0,51,2524494176,2524504544,10368
253,TASK_LINEAR_SM100,3,0,51,2524396864,2524431200,34336
251,TASK_SPLITK_LINEAR_SM100,4,0,51,2524552480,2524570624,18144
253,TASK_LINEAR_SM100,5,0,51,2524510880,2524543584,32704
253,TASK_LINEAR_SM100,6,0,51,2524578272,2524592608,14336
253,TASK_LINEAR_SM100,7,0,51,2524578272,2524592640,14368
251,TASK_SPLITK_LINEAR_SM100,8,0,51,2524436704,2524455232,18528
251,TASK_SPLITK_LINEAR_SM100,9,0,51,2524552288,2524570784,18496
253,TASK_LINEAR_SM100,10,0,51,2524578336,2524592832,14496
251,TASK_SPLITK_LINEAR_SM100,11,0,51,2524610944,2524620896,9952
251,TASK_SPLITK_LINEAR_SM100,12,0,51,2524552480,2524570816,18336
253,TASK_LINEAR_SM100,13,0,51,2524510848,2524545184,34336
251,TASK_SPLITK_LINEAR_SM100,14,0,51,2524552288,2524570848,18560
253,TASK_LINEAR_SM100,15,0,51,2524578336,2524592640,14304
251,TASK_SPLITK_LINEAR_SM100,16,0,51,2524381792,2524391136,9344
253,TASK_LINEAR_SM100,17,0,51,2524578336,2524592608,14272
201,TASK_SCHD_EVENTS,18,0,51,2524476160,2524476576,416
251,TASK_SPLITK_LINEAR_SM100,19,0,51,2524552320,2524570912,18592
201,TASK_SCHD_EVENTS,20,0,51,2524547424,2524547680,256
253,TASK_LINEAR_SM100,21,0,51,2524578240,2524592800,14560
251,TASK_SPLITK_LINEAR_SM100,22,0,51,2524494144,2524504576,10432
253,TASK_LINEAR_SM100,23,0,51,2524510624,2524545664,35040
251,TASK_SPLITK_LINEAR_SM100,24,0,51,2524611136,2524620704,9568
251,TASK_SPLITK_LINEAR_SM100,25,0,51,2524610944,2524620704,9760
253,TASK_LINEAR_SM100,26,0,51,2524510624,2524547680,37056
251,TASK_SPLITK_LINEAR_SM100,27,0,51,2524552320,2524570944,18624
253,TASK_LINEAR_SM100,28,0,51,2524578208,2524592832,14624
201,TASK_SCHD_EVENTS,29,0,51,2524476160,2524476576,416
253,TASK_LINEAR_SM100,30,0,51,2524578400,2524592640,14240
253,TASK_LINEAR_SM100,31,0,51,2524578336,2524592640,14304
251,TASK_SPLITK_LINEAR_SM100,32,0,51,2524436768,2524454816,18048
251,TASK_SPLITK_LINEAR_SM100,33,0,51,2524610944,2524620704,9760
201,TASK_SCHD_EVENTS,34,0,51,2524548896,2524549152,256
251,TASK_SPLITK_LINEAR_SM100,35,0,51,2524611136,2524620896,9760
201,TASK_SCHD_EVENTS,36,0,51,2524548640,2524548896,256
253,TASK_LINEAR_SM100,37,0,51,2524578432,2524592800,14368
253,TASK_LINEAR_SM100,38,0,51,2524510624,2524545536,34912
201,TASK_SCHD_EVENTS,39,0,51,2524347904,2524348192,288
251,TASK_SPLITK_LINEAR_SM100,40,0,51,2524611136,2524620704,9568
253,TASK_LINEAR_SM100,41,0,51,2524626240,2524659584,33344
253,TASK_LINEAR_SM100,42,0,51,2524510624,2524547456,36832
251,TASK_SPLITK_LINEAR_SM100,43,0,51,2524610944,2524620896,9952
201,TASK_SCHD_EVENTS,44,0,51,2524547296,2524547744,448
251,TASK_SPLITK_LINEAR_SM100,45,0,51,2524495872,2524504576,8704
251,TASK_SPLITK_LINEAR_SM100,46,0,51,2524494336,2524504736,10400
253,TASK_LINEAR_SM100,47,0,51,2524578400,2524592608,14208
201,TASK_SCHD_EVENTS,48,0,51,2524493984,2524494464,480
118,TASK_SILU_MUL,49,0,51,2524549728,2524551328,1600
251,TASK_SPLITK_LINEAR_SM100,50,0,51,2524611328,2524620416,9088
251,TASK_SPLITK_LINEAR_SM100,51,0,51,2524555712,2524572352,16640
251,TASK_SPLITK_LINEAR_SM100,52,0,51,2524494528,2524504832,10304
251,TASK_SPLITK_LINEAR_SM100,53,0,51,2524555712,2524572416,16704
251,TASK_SPLITK_LINEAR_SM100,54,0,51,2524494528,2524504800,10272
251,TASK_SPLITK_LINEAR_SM100,55,0,51,2524555776,2524571776,16000
251,TASK_SPLITK_LINEAR_SM100,56,0,51,2524496160,2524504608,8448
251,TASK_SPLITK_LINEAR_SM100,57,0,51,2524555648,2524572256,16608
253,TASK_LINEAR_SM100,58,0,51,2524578336,2524592672,14336
251,TASK_SPLITK_LINEAR_SM100,59,0,51,2524555776,2524572064,16288
251,TASK_SPLITK_LINEAR_SM100,60,0,51,2524555776,2524571904,16128
257,TASK_ATTN_SM100,61,0,51,2524476576,2524492960,16384
253,TASK_LINEAR_SM100,62,0,51,2524578592,2524592512,13920
253,TASK_LINEAR_SM100,63,0,51,2524578240,2524592480,14240
251,TASK_SPLITK_LINEAR_SM100,64,0,51,2524437184,2524454848,17664
