bs,wave_ms,range_pct,n,i1_wave_ms,wave_speedup,step_us,i1_step_us,step_speedup,decode_tok_s,i1_decode_tok_s,regime,dirty
1,1049.1929931640625,3.5809120872638696,3,1616.9,1.541089209072868,9532.105714285715,15264.0,1.601325085717831,104.90861410625203,65.5,"[1, 0, 1, 1]",[]
2,1084.39990234375,1.5988127974366584,3,1670.2,1.540206704547041,9696.738285714286,15647.6,1.6136972597324626,206.2549221263916,127.8,"[2, 0, 2, 2]",[]
4,1123.375244140625,0.7103901141948713,3,1686.5,1.5012792998568896,9943.010285714287,15645.1,1.5734772016155152,402.29265434302505,255.7,"[4, 0, 4, 4]",[]
8,1359.31689453125,0.3931022913694946,3,2117.0,1.557399903228622,10501.026857142857,18618.2,1.7729885137219508,761.8302580150394,429.7,"[8, 0, 8, 8]",[]
16,3305.29833984375,1.7134687427013713,3,4566.5,1.3815696891724063,11252.256,22005.2,1.9556256096555218,1421.9370764404935,681.7,"[7, 0, 7, 7]",[]
