bs,full_ms,full_D,n,range_pct,pre_ms,pre_D,decode_tok_s,vllm_decode_tok_s,gap_decode_x,e2e_s,vllm_e2e_s,gap_e2e_x,wave_tok_s,dirty_full,dirty_pre
1,10269.97265625,1023,3,0.2548578170660599,322.1272735595703,2.0,102.63529042948062,285.5,2.7816942769423285,10.26997265625,3.6,2.8527701822916662,99.61078127870503,[],"[(0, 9364)]"
2,10812.5498046875,1023,3,0.5683680467151028,623.9916381835938,2,200.42090025194312,529.8,2.643436883748173,10.8125498046875,3.89,2.7795757852667093,189.2245619172094,[],[]
4,11588.2197265625,1023,3,0.9281381440624853,1188.4799194335938,2.0,392.70213252839875,934.4,2.3794115758524117,11.5882197265625,4.45,2.6040943205758427,353.11722564427424,[],"[(0, 1866)]"
8,14405.244140625,1023,3,0.7988966149344755,2939.451416015625,2,712.379876052423,1692.5,2.375839151126514,14.405244140625,4.953,2.908387672244094,568.1264350751171,[],[]
16,15217.5341796875,1023,3,6.186845650849288,3060.05908203125,2.0,1343.7000585055114,3018.1,2.2461113854209307,15.2175341796875,5.568,2.7330341558346802,1075.601329803363,[],"[(0, 1061)]"
