bs,waves,e2e_ms,n,range_pct,tok_s,dirty
1,10,9349.799255371094,3,1.7023279458544003,68.45066749773746,[]
2,5,4966.762145996094,3,0.24834399955436182,128.8565832603701,[]
4,3,3254.6712646484375,3,1.6532990236726681,196.64044321512495,[]
8,2,2917.1480712890625,3,1.7324316908574982,219.39236005842844,[]
16,1,3324.281005859375,3,0.6286750652069897,192.52283392166203,[]
