stage,calls_per_step,sites_per_step,sum_us_per_step,sum_min,sum_max,range_pct,union_us_per_step,us_per_site
moe_grouped_gemm_w13,40.00,40,1123.23,1038.34,1225.00,16.62,1123.23,28.081
dense_fp8_attn_gdn_proj,80.00,80,804.37,803.13,806.77,0.45,804.37,10.055
moe_grouped_gemm_w2,40.00,40,755.94,726.82,794.41,8.94,755.94,18.898
norms_rope_glue,312.00,,680.39,679.93,680.62,0.10,676.52,
dense_fp8_shared_expert,80.00,80,566.59,561.83,572.49,1.88,566.59,7.082
gdn_recurrent,30.00,30,462.74,461.20,464.06,0.62,462.74,15.425
shared_expert_gate,160.00,40,455.14,452.54,460.29,1.70,399.28,11.379
quantize_fp8_main,120.00,120,387.14,386.61,387.53,0.24,387.14,3.226
moe_act_silu_requant,40.00,40,292.82,287.71,297.05,3.19,292.82,7.321
moe_router_topk,40.00,40,238.18,237.18,239.27,0.88,238.18,5.955
quantize_fp8_shared,80.00,80,219.09,218.86,219.35,0.23,219.09,2.739
bf16_small_gemm_splitk_reduce,70.00,70,202.88,202.56,203.12,0.28,202.88,2.898
moe_finalize_combine,40.00,40,194.34,191.48,198.98,3.86,194.34,4.858
moe_router_gemm_bf16,40.00,40,164.56,164.00,164.78,0.48,164.56,4.114
lm_head_bf16,1.00,1,155.13,155.02,155.21,0.12,155.13,155.132
gdn_in_proj_ba_bf16,30.00,30,109.62,109.05,110.20,1.05,109.62,3.654
full_attention,10.00,10,106.59,98.19,121.55,21.92,106.59,10.659
shared_expert_silu_mul,40.00,40,97.42,97.35,97.55,0.20,97.42,2.435
gdn_conv1d,30.00,30,95.61,95.48,95.96,0.50,95.61,3.187
attention_kv_write,14.00,10,42.12,42.06,42.19,0.30,42.12,4.212
memcpy_memset,23.00,,36.82,36.67,37.01,0.90,36.05,
sampling_argmax,1.00,1,13.47,13.42,13.48,0.44,13.47,13.472
embedding,1.00,1,8.37,8.21,8.85,7.62,8.37,8.372
unmapped,1.00,,2.57,2.56,2.59,1.20,2.57,
