stage,calls_per_step,sites_per_step,sum_us_per_step,sum_min,sum_max,range_pct,union_us_per_step,us_per_site
dense_fp8_attn_gdn_proj,80.00,80,810.07,809.69,810.82,0.14,810.07,10.126
norms_rope_glue,273.00,,557.82,557.01,558.57,0.28,553.65,
dense_fp8_shared_expert,80.00,80,543.43,542.84,543.60,0.14,543.43,6.793
shared_expert_gate,120.00,40,429.61,429.28,429.89,0.14,426.16,10.740
quantize_fp8_main,120.00,120,341.16,341.03,341.23,0.06,341.16,2.843
moe_grouped_gemm_w13,40.00,40,336.56,336.17,336.83,0.19,336.56,8.414
moe_grouped_gemm_w2,40.00,40,300.66,300.26,301.26,0.33,300.66,7.517
quantize_fp8_shared,80.00,80,218.12,217.72,218.28,0.26,218.12,2.727
moe_act_silu_requant,40.00,40,201.94,201.64,202.43,0.39,201.94,5.048
bf16_small_gemm_splitk_reduce,70.00,70,189.44,189.17,189.57,0.21,189.44,2.706
moe_finalize_combine,40.00,40,174.10,173.95,174.31,0.21,174.10,4.352
gdn_recurrent,30.00,30,163.65,163.29,163.86,0.35,163.65,5.455
moe_router_gemm_bf16,40.00,40,156.85,156.59,156.93,0.21,156.85,3.921
lm_head_bf16,1.00,1,150.72,150.58,150.80,0.15,150.72,150.723
moe_router_topk,40.00,40,147.86,147.70,147.97,0.18,147.86,3.697
gdn_in_proj_ba_bf16,30.00,30,112.26,112.16,112.36,0.18,112.26,3.742
full_attention,10.00,10,94.25,87.36,114.27,28.55,94.25,9.425
gdn_conv1d,30.00,30,89.61,89.34,89.89,0.62,89.61,2.987
shared_expert_silu_mul,40.00,40,71.70,71.38,72.11,1.02,71.70,1.793
attention_kv_write,14.00,10,39.32,39.26,39.44,0.46,39.32,3.932
memcpy_memset,23.00,,33.51,33.27,33.79,1.57,32.86,
sampling_argmax,1.00,1,8.68,8.67,8.69,0.29,8.68,8.676
embedding,1.00,1,2.47,2.41,2.51,4.06,2.47,2.471
