iter,phase,n_live,n_prefill,n_decode,tokens,iter_us,task_sum_us,sched_events_us,busy_any_us,dead_us,prepare_batch_us,perfect_pack_us,worker_idle_us,occupancy,n_tasks
0,prefill,16,16,0,16,32987.90,818760.00,645.76,32504.29,483.62,14.34,6401.61,26102.68,0.1941,59346
1,prefill,16,16,0,16,27304.38,851843.33,647.68,26803.20,501.18,12.16,6660.09,20143.11,0.2439,59346
2,mixed,16,15,1,16,34811.20,820065.22,642.30,34322.21,488.99,15.65,6411.78,27910.43,0.1842,59346
3,mixed,16,15,1,16,25477.31,853126.78,636.03,24981.54,495.78,15.90,6670.02,18311.51,0.2618,59346
4,mixed,16,14,2,16,33499.23,855430.85,643.26,33005.22,494.02,15.49,6688.08,26317.14,0.1996,59346
5,mixed,16,14,2,16,29153.02,898809.25,646.24,28656.03,496.99,15.49,7027.00,21629.04,0.2410,59346
6,mixed,16,13,3,16,32438.66,882928.93,637.38,31950.85,487.81,17.28,6902.86,25047.99,0.2128,59346
7,mixed,16,13,3,16,32348.86,875787.74,633.98,31850.43,498.43,17.92,6847.04,25003.39,0.2117,59346
8,mixed,16,13,3,16,27299.84,945624.86,644.54,26801.25,498.59,19.33,7392.73,19408.52,0.2708,59346
9,mixed,16,12,4,16,31478.21,932391.17,643.04,30986.37,491.84,19.94,7289.33,23697.04,0.2316,59346
10,mixed,16,12,4,16,29028.58,957337.28,650.78,28526.18,502.40,20.96,7484.28,21041.89,0.2578,59346
11,mixed,16,11,5,16,30567.94,992243.23,651.04,30067.55,500.38,20.99,7756.99,22310.57,0.2538,59346
12,mixed,16,11,5,16,30410.24,985171.01,656.13,29920.67,489.57,20.51,7701.77,22218.90,0.2533,59346
13,mixed,16,11,5,16,30605.57,1004602.53,639.71,30110.27,495.30,21.28,7853.45,22256.82,0.2566,59346
14,mixed,16,11,5,16,26565.66,1019728.16,654.85,26055.62,510.05,21.73,7971.74,18083.87,0.3001,59346
15,mixed,16,10,6,16,29685.76,1025126.72,650.50,29190.62,495.14,20.32,8013.88,21176.74,0.2700,59346
