iter,phase,n_live,n_prefill,n_decode,tokens,iter_us,task_sum_us,sched_events_us,busy_any_us,dead_us,prepare_batch_us,perfect_pack_us,worker_idle_us,occupancy,n_tasks
0,prefill,8,8,0,16,21882.30,685736.99,979.55,21457.44,424.86,13.92,5364.97,16092.47,0.2452,49586
1,prefill,8,8,0,16,22901.44,616686.08,984.42,22483.01,418.43,9.82,4825.55,17657.46,0.2107,49586
2,prefill,8,8,0,16,22932.03,629387.04,980.70,22518.75,413.28,10.56,4924.75,17594.00,0.2148,49586
3,prefill,8,8,0,16,22981.06,624211.78,981.02,22557.50,423.55,9.89,4884.32,17673.19,0.2125,49586
4,prefill,8,8,0,16,23204.64,614753.50,976.64,22786.88,417.76,9.34,4810.39,17976.49,0.2073,49586
5,prefill,8,8,0,16,23268.93,631758.50,982.69,22849.66,419.26,9.66,4943.29,17906.37,0.2124,49586
6,prefill,8,8,0,16,23347.55,627333.12,983.04,22926.08,421.47,10.34,4908.72,18017.36,0.2102,49586
7,prefill,8,8,0,16,23208.51,628308.45,968.67,22792.26,416.26,8.99,4916.23,17876.03,0.2118,49586
8,prefill,8,8,0,16,23546.24,624227.14,983.23,23121.92,424.32,9.18,4884.46,18237.46,0.2074,49586
9,prefill,8,8,0,16,23563.81,626975.10,983.71,23142.50,421.31,9.63,4905.93,18236.57,0.2082,49586
10,prefill,8,8,0,16,23614.75,650161.63,981.44,23198.75,416.00,8.93,5087.06,18111.70,0.2154,49586
11,prefill,8,8,0,16,23597.28,629484.06,970.75,23175.90,421.38,11.10,4925.43,18250.48,0.2087,49586
12,prefill,8,8,0,16,24072.16,678680.93,977.86,23657.18,414.98,9.31,5309.83,18347.35,0.2206,49586
13,prefill,8,8,0,16,24004.29,657425.34,978.91,23585.31,418.98,8.86,5143.78,18441.53,0.2143,49586
14,prefill,8,8,0,16,23835.14,647619.01,989.25,23425.47,409.66,10.46,5067.25,18358.22,0.2126,49586
15,prefill,8,8,0,16,24140.48,661569.76,982.56,23719.39,421.09,12.38,5176.19,18543.20,0.2144,49586
16,mixed,8,7,1,16,21198.69,720492.45,997.25,20785.02,413.66,12.61,5636.64,15148.39,0.2659,49586
17,mixed,8,7,1,16,22238.46,631345.02,994.98,21815.30,423.17,13.31,4940.16,16875.14,0.2221,49586
18,mixed,8,7,1,16,22162.30,646572.61,991.04,21744.51,417.79,13.34,5059.09,16685.42,0.2283,49586
19,mixed,8,7,1,16,22532.70,666567.33,979.58,22107.97,424.74,13.34,5215.21,16892.76,0.2315,49586
20,mixed,8,7,1,16,22800.67,672131.23,992.77,22378.18,422.50,12.45,5258.78,17119.39,0.2306,49586
21,mixed,8,7,1,16,22570.88,650990.50,995.68,22145.15,425.73,13.41,5093.64,17051.51,0.2257,49586
22,mixed,8,7,1,16,22609.34,662699.74,996.38,22187.17,422.18,13.06,5185.13,17002.04,0.2293,49586
23,mixed,8,7,1,16,22696.06,655258.18,986.85,22272.32,423.74,12.22,5126.91,17145.41,0.2259,49586
24,mixed,8,7,1,16,22951.52,658548.03,994.78,22538.21,413.31,12.58,5152.68,17385.53,0.2245,49586
25,mixed,8,7,1,16,22974.08,680566.24,997.86,22546.94,427.14,12.90,5324.72,17222.22,0.2318,49586
26,mixed,8,7,1,16,23072.58,669959.33,1003.71,22650.27,422.30,12.54,5241.90,17408.37,0.2272,49586
