iter,phase,n_live,n_prefill,n_decode,tokens,iter_us,task_sum_us,sched_events_us,busy_any_us,dead_us,prepare_batch_us,perfect_pack_us,worker_idle_us,occupancy,n_tasks
0,prefill,1,1,0,16,18237.44,691021.92,962.37,17816.38,421.06,8.61,5406.13,12410.26,0.2964,43926
1,prefill,1,1,0,16,18552.96,662901.70,956.00,18132.45,420.51,6.30,5186.39,12946.06,0.2795,43926
2,prefill,1,1,0,16,18285.38,626423.30,954.50,17865.63,419.74,5.28,4901.39,12964.24,0.2680,43926
3,prefill,1,1,0,16,18252.10,634723.39,960.32,17832.58,419.52,6.05,4966.28,12866.30,0.2721,43926
4,prefill,1,1,0,16,18614.43,641191.74,962.24,18196.35,418.08,5.25,5016.83,13179.52,0.2695,43926
5,prefill,1,1,0,16,18592.54,636008.58,961.34,18172.67,419.87,5.28,4976.33,13196.34,0.2677,43926
6,prefill,1,1,0,16,18638.37,636336.19,975.87,18215.17,423.20,5.86,4979.00,13236.17,0.2671,43926
7,prefill,1,1,0,16,18744.03,647465.22,962.30,18324.06,419.97,6.46,5065.84,13258.22,0.2703,43926
8,prefill,1,1,0,16,18913.73,647743.97,954.59,18490.82,422.91,5.47,5067.96,13422.86,0.2680,43926
9,prefill,1,1,0,16,18948.90,629813.15,970.30,18529.06,419.84,6.40,4928.00,13601.06,0.2601,43926
10,prefill,1,1,0,16,19030.40,649100.51,964.83,18604.77,425.63,5.60,5078.64,13526.13,0.2669,43926
11,prefill,1,1,0,16,18896.10,630115.36,958.53,18472.16,423.94,6.53,4930.26,13541.90,0.2609,43926
12,prefill,1,1,0,16,19212.99,631728.48,954.21,18793.12,419.87,6.72,4942.83,13850.29,0.2573,43926
13,prefill,1,1,0,16,19256.96,648102.72,959.26,18832.99,423.97,6.56,5070.80,13762.20,0.2633,43926
14,prefill,1,1,0,16,19457.09,652519.20,962.78,19029.44,427.65,6.50,5105.33,13924.11,0.2624,43926
15,prefill,1,1,0,16,19172.67,627539.58,954.05,18747.42,425.25,5.15,4910.11,13837.32,0.2561,43926
16,decode_full,1,0,1,1,10322.21,233855.87,921.95,9879.55,442.66,4.42,1834.20,8045.35,0.1777,43926
17,decode_full,1,0,1,1,10326.14,233857.06,933.12,9899.17,426.98,4.74,1834.30,8064.87,0.1776,43926
