iter,phase,n_live,n_prefill,n_decode,tokens,iter_us,task_sum_us,sched_events_us,busy_any_us,dead_us,prepare_batch_us,perfect_pack_us,worker_idle_us,occupancy,n_tasks
0,prefill,8,8,0,16,21838.24,685767.14,975.42,21416.22,422.02,11.74,5365.18,16051.05,0.2457,49586
1,prefill,8,8,0,16,22878.05,617982.72,972.45,22458.75,419.30,8.13,4835.59,17623.16,0.2114,49586
2,prefill,8,8,0,16,22915.87,629927.97,973.66,22502.82,413.06,8.35,4928.92,17573.90,0.2151,49586
3,prefill,8,8,0,16,22949.15,625229.18,977.86,22531.74,417.41,7.46,4892.24,17639.50,0.2132,49586
4,prefill,8,8,0,16,23206.59,615449.12,977.38,22788.96,417.63,7.52,4815.83,17973.13,0.2075,49586
5,prefill,8,8,0,16,23269.95,632574.75,974.34,22857.12,412.83,7.14,4949.60,17907.52,0.2127,49586
6,prefill,8,8,0,16,23343.62,628344.86,986.98,22920.51,423.10,8.32,4916.65,18003.86,0.2106,49586
7,prefill,8,8,0,16,23197.76,629278.62,982.59,22778.56,419.20,8.13,4923.92,17854.64,0.2123,49586
8,prefill,8,8,0,16,23548.45,624754.18,980.29,23129.38,419.07,7.04,4888.55,18240.83,0.2076,49586
9,prefill,8,8,0,16,23560.77,627604.10,988.64,23140.10,420.67,8.54,4910.88,18229.22,0.2084,49586
10,prefill,8,8,0,16,23594.18,650377.28,977.28,23177.89,416.29,7.49,5088.71,18089.18,0.2157,49586
11,prefill,8,8,0,16,23585.25,630295.42,982.66,23165.70,419.55,7.30,4931.86,18233.84,0.2091,49586
12,prefill,8,8,0,16,24036.03,679278.75,969.86,23616.74,419.30,8.06,5314.44,18302.29,0.2211,49586
13,prefill,8,8,0,16,23975.46,658747.94,971.55,23557.09,418.37,8.26,5154.06,18403.03,0.2150,49586
14,prefill,8,8,0,16,23824.29,648356.67,978.78,23405.47,418.82,7.94,5072.93,18332.54,0.2129,49586
15,prefill,8,8,0,16,24112.45,662191.17,986.85,23693.79,418.66,9.38,5181.08,18512.71,0.2149,49586
16,mixed,8,7,1,16,21197.22,721195.62,997.31,20780.32,416.90,9.15,5642.13,15138.19,0.2662,49586
17,mixed,8,7,1,16,22262.30,632005.22,977.89,21846.18,416.13,9.82,4945.18,16901.00,0.2221,49586
18,mixed,8,7,1,16,22208.06,647706.37,994.59,21794.72,413.34,9.98,5067.98,16726.74,0.2282,49586
19,mixed,8,7,1,16,22563.87,666986.21,989.70,22147.42,416.45,9.41,5218.56,16928.86,0.2313,49586
20,mixed,8,7,1,16,22835.30,673124.70,986.66,22413.57,421.73,11.20,5266.49,17147.07,0.2306,49586
21,mixed,8,7,1,16,22598.94,651949.60,979.87,22180.42,418.53,10.27,5101.01,17079.40,0.2257,49586
22,mixed,8,7,1,16,22623.23,663263.01,996.96,22203.14,420.10,10.98,5189.53,17013.60,0.2294,49586
23,mixed,8,7,1,16,22715.14,655186.75,981.02,22294.02,421.12,11.07,5126.31,17167.71,0.2257,49586
24,mixed,8,7,1,16,22973.41,659344.96,994.30,22553.79,419.62,10.66,5158.90,17394.89,0.2246,49586
25,mixed,8,7,1,16,22996.64,681389.76,992.35,22576.16,420.48,10.43,5331.11,17245.05,0.2318,49586
26,mixed,8,7,1,16,23086.05,670539.20,994.82,22671.97,414.08,9.98,5246.36,17425.61,0.2273,49586
27,mixed,8,7,1,16,23136.42,686262.72,979.46,22711.65,424.77,11.30,5369.08,17342.57,0.2321,49586
28,mixed,8,7,1,16,23080.90,653495.46,983.10,22661.09,419.81,10.02,5113.11,17547.97,0.2215,49586
29,mixed,8,7,1,16,23213.98,673144.13,985.25,22792.19,421.79,10.56,5266.64,17525.56,0.2269,49586
30,mixed,8,7,1,16,23318.11,669167.46,992.74,22893.79,424.32,10.14,5235.63,17658.17,0.2245,49586
31,mixed,8,7,1,16,23163.17,653731.26,980.48,22746.24,416.93,9.73,5114.94,17631.30,0.2208,49586
32,mixed,8,7,1,16,23270.85,665914.94,989.73,22849.12,421.73,10.69,5210.19,17638.93,0.2239,49586
33,mixed,8,7,1,16,20493.63,731301.89,992.93,20077.18,416.45,10.94,5721.05,14356.13,0.2792,49586
34,mixed,8,6,2,16,21706.50,654016.42,981.02,21289.66,416.83,12.03,5117.17,16172.50,0.2357,49586
35,mixed,8,6,2,16,21645.70,674573.41,986.50,21228.67,417.02,11.97,5277.81,15950.86,0.2438,49586
36,mixed,8,6,2,16,21657.70,659310.98,992.45,21234.30,423.39,11.23,5158.62,16075.68,0.2382,49586
37,mixed,8,6,2,16,22001.73,672796.80,974.40,21575.30,426.43,11.81,5263.84,16311.46,0.2392,49586
38,mixed,8,6,2,16,21855.97,665205.98,992.93,21433.38,422.59,11.39,5204.68,16228.70,0.2381,49586
39,mixed,8,6,2,16,21979.10,676843.49,989.50,21553.31,425.79,13.31,5295.57,16257.74,0.2409,49586
40,mixed,8,6,2,16,21974.94,673585.38,999.33,21552.67,422.27,11.90,5270.19,16282.48,0.2398,49586
41,mixed,8,6,2,16,21993.15,670757.41,987.87,21576.16,416.99,11.78,5248.01,16328.15,0.2386,49586
42,mixed,8,6,2,16,25350.11,732004.58,1014.24,24905.31,444.80,17.18,5726.71,19178.60,0.2259,49586
43,mixed,8,6,2,16,26237.38,774597.95,1030.82,25801.31,436.06,15.97,6059.60,19741.71,0.2310,49586
44,mixed,8,6,2,16,23860.80,720641.22,995.84,23115.14,745.66,302.53,5637.79,17477.35,0.2363,49586
45,mixed,8,6,2,16,25322.43,770207.94,1008.93,24887.20,435.23,17.63,6025.13,18862.07,0.2379,49586
46,mixed,8,6,2,16,25168.83,804527.04,1024.61,24345.92,822.91,16.48,6293.37,18052.55,0.2500,49586
47,mixed,8,6,2,16,25138.08,824751.94,1012.42,24702.91,435.17,16.19,6451.28,18251.63,0.2566,49586
48,mixed,8,6,2,16,24485.92,806749.09,1009.09,24056.74,429.18,17.02,6310.61,17746.13,0.2577,49586
49,mixed,8,6,2,16,24335.14,715834.18,995.23,23907.33,427.81,16.70,5600.23,18307.10,0.2301,49586
50,mixed,8,6,2,16,24656.26,793778.88,1006.94,24223.74,432.51,16.67,6209.26,18014.48,0.2518,49586
51,mixed,8,6,2,16,19231.97,812642.98,1004.48,18376.93,855.04,18.72,6356.62,12020.31,0.3305,49586
52,mixed,8,5,3,16,23437.41,865402.37,1002.24,23008.38,429.02,18.66,6768.79,16239.60,0.2888,49586
53,mixed,8,5,3,16,25841.57,872237.60,1020.67,25400.70,440.86,17.86,6822.33,18578.37,0.2640,49586
54,mixed,8,5,3,16,26221.34,794240.64,1012.06,25773.06,448.29,19.33,6212.91,19560.14,0.2369,49586
55,mixed,8,5,3,16,25611.01,880724.86,1013.82,25175.58,435.42,19.23,6888.58,18287.00,0.2690,49586
56,mixed,8,5,3,16,22156.38,684888.32,993.31,21723.65,432.74,18.69,5358.45,16365.20,0.2418,49586
57,mixed,8,5,3,16,21359.20,686401.34,986.94,20942.40,416.80,13.38,5370.22,15572.18,0.2514,49586
58,mixed,8,5,3,16,21371.17,673645.95,985.57,20948.96,422.21,13.31,5270.56,15678.40,0.2466,49586
59,mixed,8,5,3,16,21465.79,679609.79,986.88,21038.72,427.07,14.69,5317.16,15721.56,0.2477,49586
60,mixed,8,5,3,16,21398.30,707005.63,975.65,20976.32,421.98,12.99,5531.10,15445.22,0.2585,49586
61,mixed,8,5,3,16,21891.17,691908.19,981.92,21469.38,421.79,13.63,5413.20,16056.17,0.2473,49586
62,mixed,8,5,3,16,21790.08,689808.74,978.88,21370.37,419.71,14.30,5396.78,15973.59,0.2477,49586
63,mixed,8,5,3,16,21784.35,696164.77,981.89,21367.26,417.09,13.50,5446.46,15920.81,0.2500,49586
64,mixed,8,5,3,16,21685.54,693051.36,987.81,21267.68,417.86,13.79,5422.18,15845.50,0.2500,49586
65,mixed,8,5,3,16,21967.33,714196.54,990.02,21544.38,422.94,13.41,5587.40,15956.99,0.2544,49586
66,mixed,8,5,3,16,22046.72,709916.38,986.27,21623.58,423.14,12.90,5553.93,16069.66,0.2519,49586
67,mixed,8,5,3,16,22171.74,710835.46,983.42,21748.64,423.10,15.01,5561.09,16187.56,0.2508,49586
68,mixed,8,5,3,16,22075.94,706784.16,977.82,21657.47,418.46,14.98,5529.39,16128.08,0.2505,49586
69,mixed,8,5,3,16,22282.72,712421.18,999.30,21858.27,424.45,14.43,5573.60,16284.67,0.2501,49586
70,mixed,8,5,3,16,21271.39,746791.84,980.70,20849.54,421.86,15.10,5841.97,15007.56,0.2746,49586
71,mixed,8,4,4,16,21093.50,777247.68,987.81,20670.50,423.01,16.38,6079.96,14590.53,0.2882,49586
72,mixed,8,4,4,16,20216.58,711332.42,987.36,19790.59,425.98,16.99,5565.00,14225.59,0.2753,49586
73,mixed,8,4,4,16,20305.09,711239.74,986.78,19881.66,423.42,15.90,5564.27,14317.39,0.2740,49586
74,mixed,8,4,4,16,20194.46,691200.00,986.50,19767.74,426.72,15.30,5407.71,14360.04,0.2678,49586
75,mixed,8,4,4,16,20512.58,719146.18,988.06,20082.78,429.79,21.02,5626.05,14456.74,0.2743,49586
76,mixed,8,4,4,16,20525.44,706158.05,979.23,20101.25,424.19,16.93,5524.51,14576.74,0.2692,49586
77,mixed,8,4,4,16,20473.95,712455.78,981.92,20050.75,423.20,15.01,5573.73,14477.02,0.2722,49586
78,mixed,8,4,4,16,20452.96,698620.48,990.14,20026.46,426.50,16.74,5465.71,14560.76,0.2672,49586
79,mixed,8,4,4,16,20736.38,732866.85,987.23,20306.43,429.95,15.52,5733.23,14573.20,0.2765,49586
80,mixed,8,4,4,16,20730.37,738734.34,999.10,20309.22,421.15,14.85,5779.17,14530.05,0.2788,49586
81,mixed,8,4,4,16,20922.34,730968.32,978.78,20501.92,420.42,15.36,5718.34,14783.58,0.2733,49586
82,mixed,8,4,4,16,20970.24,736744.99,986.50,20548.19,422.05,14.50,5763.53,14784.66,0.2748,49586
83,mixed,8,4,4,16,20839.84,721506.34,990.30,20405.98,433.86,15.81,5644.51,14761.48,0.2709,49586
84,mixed,8,4,4,16,21210.34,721509.25,993.95,20785.25,425.09,14.62,5644.56,15140.69,0.2661,49586
85,mixed,8,4,4,16,21137.06,735324.22,983.62,20716.13,420.93,14.27,5752.40,14963.72,0.2721,49586
86,mixed,8,4,4,16,21181.66,739900.77,985.95,20752.13,429.54,14.78,5788.18,14963.95,0.2733,49586
87,mixed,8,4,4,16,21093.18,723115.17,975.49,20674.50,418.69,15.97,5656.96,15017.54,0.2682,49586
88,mixed,8,4,4,16,21290.24,742740.51,984.26,20866.46,423.78,15.55,5810.35,15056.11,0.2729,49586
89,mixed,8,4,4,16,21288.19,735574.91,984.48,20869.34,418.85,14.78,5754.37,15114.97,0.2703,49586
90,mixed,8,4,4,16,21042.85,726828.22,982.98,20622.43,420.42,15.55,5686.03,14936.41,0.2702,49586
91,mixed,8,4,4,16,21321.31,744360.74,980.96,20892.00,429.31,16.48,5822.98,15069.02,0.2731,49586
92,mixed,8,4,4,16,17652.42,797810.59,982.59,17230.40,422.02,16.54,6240.57,10989.83,0.3535,49586
93,mixed,8,3,5,16,19971.10,707402.53,995.94,19542.05,429.06,16.19,5534.36,14007.68,0.2771,49586
94,mixed,8,3,5,16,19804.00,737139.78,999.14,19384.51,419.49,16.03,5766.71,13617.80,0.2912,49586
95,mixed,8,3,5,16,19874.08,742900.29,988.58,19455.71,418.37,16.19,5811.63,13644.08,0.2924,49586
96,mixed,8,3,5,16,19896.16,732149.92,986.91,19468.74,427.42,17.15,5727.63,13741.10,0.2879,49586
97,mixed,8,3,5,16,20068.80,747654.27,994.62,19644.99,423.81,16.32,5848.82,13796.17,0.2914,49586
98,mixed,8,3,5,16,20274.34,747880.35,993.28,19850.18,424.16,16.00,5850.58,13999.60,0.2886,49586
99,mixed,8,3,5,16,20352.06,751830.14,980.06,19926.18,425.89,17.86,5881.33,14044.85,0.2890,49586
100,mixed,8,3,5,16,19945.73,724019.94,985.54,19524.61,421.12,16.86,5664.11,13860.50,0.2840,49586
101,mixed,8,3,5,16,20229.92,757483.52,989.31,19808.51,421.41,15.97,5925.57,13882.94,0.2929,49586
102,mixed,8,3,5,16,19960.86,717956.10,983.30,19539.30,421.57,16.29,5616.71,13922.58,0.2814,49586
103,mixed,8,3,5,16,20860.45,760242.27,992.03,20433.82,426.62,18.08,5947.14,14486.68,0.2851,49586
104,mixed,8,3,5,16,20478.08,754503.42,997.09,20051.33,426.75,17.22,5902.35,14148.98,0.2882,49586
105,mixed,8,3,5,16,20412.22,738231.78,989.25,19985.89,426.34,16.29,5775.16,14210.72,0.2829,49586
106,mixed,8,3,5,16,20284.83,734389.47,994.18,19864.26,420.58,16.03,5745.18,14119.07,0.2832,49586
107,mixed,8,3,5,16,20381.54,750928.77,994.46,19949.31,432.22,17.15,5874.40,14074.91,0.2882,49586
108,mixed,8,3,5,16,20620.29,737938.24,984.38,20199.04,421.25,16.16,5772.83,14426.21,0.2800,49586
109,mixed,8,3,5,16,20650.53,724222.98,983.65,20222.02,428.51,17.76,5665.68,14556.34,0.2744,49586
110,mixed,8,3,5,16,20844.80,748866.72,979.17,20415.84,428.96,15.65,5858.17,14557.67,0.2810,49586
111,mixed,8,3,5,16,20599.14,736964.61,985.34,20173.79,425.34,17.82,5765.23,14408.56,0.2799,49586
112,mixed,7,3,4,16,21287.84,731503.81,994.53,20865.02,422.82,15.30,5722.64,15142.38,0.2688,49586
