iter,phase,n_live,n_prefill,n_decode,tokens,iter_us,task_sum_us,sched_events_us,busy_any_us,dead_us,prepare_batch_us,perfect_pack_us,worker_idle_us,occupancy,n_tasks
0,prefill,16,16,0,16,29612.13,676441.54,1000.29,29187.46,424.67,12.48,5292.51,23894.94,0.1787,59346
1,prefill,16,16,0,16,32356.13,621953.95,986.08,31933.73,422.40,10.98,4866.72,27067.01,0.1504,59346
2,prefill,16,16,0,16,32297.50,632473.09,987.74,31872.48,425.02,12.77,4948.91,26923.57,0.1532,59346
3,prefill,16,16,0,16,32460.06,643575.58,989.06,32035.10,424.96,13.22,5035.66,26999.44,0.1551,59346
4,prefill,16,16,0,16,32836.77,644754.02,989.76,32416.96,419.81,11.20,5044.87,27372.09,0.1536,59346
5,prefill,16,16,0,16,32673.82,640247.46,979.90,32244.42,429.41,11.58,5009.59,27234.83,0.1533,59346
6,prefill,16,16,0,16,32699.23,656505.22,980.32,32272.51,426.72,12.51,5136.61,27135.91,0.1571,59346
7,prefill,16,16,0,16,32884.32,655056.19,985.06,32457.89,426.43,12.99,5125.32,27332.57,0.1559,59346
8,prefill,16,16,0,16,33058.34,670071.26,983.10,32634.30,424.03,11.94,5242.61,27391.69,0.1586,59346
9,prefill,16,16,0,16,32995.90,654479.04,986.66,32578.50,417.41,11.14,5120.83,27457.67,0.1552,59346
10,prefill,16,16,0,16,33031.94,664360.26,981.76,32615.94,416.00,11.04,5197.98,27417.95,0.1574,59346
11,prefill,16,16,0,16,33051.62,662011.14,991.97,32632.74,418.88,11.42,5179.71,27453.02,0.1567,59346
12,prefill,16,16,0,16,33393.50,675217.34,980.61,32970.72,422.78,11.49,5282.80,27687.92,0.1582,59346
13,prefill,16,16,0,16,33425.79,679180.64,995.30,33005.12,420.67,11.42,5313.87,27691.25,0.1590,59346
14,prefill,16,16,0,16,33447.87,670867.17,979.65,33019.94,427.94,12.13,5248.80,27771.13,0.1569,59346
15,prefill,16,16,0,16,33422.62,651182.56,981.70,32996.19,426.43,13.22,5095.03,27901.16,0.1524,59346
16,mixed,16,15,1,16,28514.46,718898.62,1007.39,28094.62,419.84,13.82,5624.27,22470.36,0.1972,59346
17,mixed,16,15,1,16,31375.01,673521.02,1007.39,30952.86,422.14,15.71,5269.75,25683.11,0.1680,59346
18,mixed,16,15,1,16,31371.78,673117.54,1010.62,30941.92,429.86,15.14,5266.63,25675.29,0.1679,59346
19,mixed,16,15,1,16,31634.88,703083.26,1001.38,31211.36,423.52,14.40,5500.66,25710.70,0.1739,59346
20,mixed,16,15,1,16,31553.09,688450.94,1017.22,31131.65,421.44,14.11,5386.47,25745.18,0.1707,59346
21,mixed,16,15,1,16,31599.68,681252.99,1013.28,31180.38,419.30,13.38,5330.21,25850.18,0.1687,59346
22,mixed,16,15,1,16,31788.51,701842.59,1018.30,31362.88,425.63,13.38,5491.10,25871.78,0.1727,59346
23,mixed,16,15,1,16,31610.24,677220.45,1013.76,31180.80,429.44,13.54,5298.70,25882.10,0.1676,59346
24,mixed,16,15,1,16,32062.11,692208.38,1028.99,31636.70,425.41,15.55,5415.92,26220.79,0.1689,59346
25,mixed,16,15,1,16,31975.10,692436.90,1030.72,31552.10,423.01,13.86,5417.72,26134.38,0.1694,59346
26,mixed,16,15,1,16,32102.78,710984.35,1007.58,31675.23,427.55,13.28,5562.44,26112.80,0.1733,59346
27,mixed,16,15,1,16,31943.23,669920.51,1022.11,31513.73,429.50,14.05,5241.74,26271.99,0.1641,59346
28,mixed,16,15,1,16,32286.24,679600.48,1019.42,31861.76,424.48,13.06,5317.34,26544.42,0.1647,59346
29,mixed,16,15,1,16,32252.51,687763.46,1016.48,31832.86,419.65,13.25,5381.09,26451.77,0.1668,59346
30,mixed,16,15,1,16,32543.78,714460.99,1022.66,32114.43,429.34,14.56,5589.72,26524.72,0.1718,59346
31,mixed,16,15,1,16,32410.56,705704.99,1007.65,31988.90,421.66,13.06,5521.19,26467.70,0.1704,59346
32,mixed,16,15,1,16,32332.77,687759.78,1003.30,31903.65,429.12,15.71,5380.96,26522.69,0.1664,59346
33,mixed,16,15,1,16,27645.28,724339.14,1010.40,27225.02,420.26,15.65,5666.79,21558.23,0.2050,59346
34,mixed,16,14,2,16,30156.19,667150.02,1007.14,29721.54,434.66,17.50,5219.98,24501.56,0.1731,59346
35,mixed,16,14,2,16,30358.34,683140.48,1013.15,29932.51,425.82,15.20,5344.95,24587.56,0.1761,59346
36,mixed,16,14,2,16,30302.05,691340.13,1013.09,29875.04,427.01,15.01,5409.01,24466.03,0.1785,59346
37,mixed,16,14,2,16,30574.46,703714.46,1009.60,30149.44,425.02,15.14,5505.66,24643.78,0.1801,59346
38,mixed,16,14,2,16,30504.48,691000.22,1007.52,30079.71,424.77,16.38,5406.31,24673.40,0.1772,59346
39,mixed,16,14,2,16,30682.05,712115.52,1008.29,30261.25,420.80,15.42,5571.28,24689.97,0.1816,59346
40,mixed,16,14,2,16,30833.06,714598.08,1010.37,30404.86,428.19,15.36,5590.69,24814.17,0.1813,59346
41,mixed,16,14,2,16,31005.60,715821.28,1011.94,30572.77,432.83,15.65,5600.26,24972.51,0.1806,59346
42,mixed,16,14,2,16,30959.58,701450.94,1013.89,30529.86,429.73,15.33,5488.01,25041.85,0.1773,59346
43,mixed,16,14,2,16,31066.18,726580.86,1000.32,30641.79,424.38,16.22,5684.23,24957.56,0.1830,59346
44,mixed,16,14,2,16,30996.13,701151.36,1013.02,30564.67,431.46,16.45,5485.66,25079.01,0.1770,59346
45,mixed,16,14,2,16,31102.11,715631.39,999.01,30679.68,422.43,15.84,5598.68,25081.01,0.1800,59346
46,mixed,16,14,2,16,31354.91,707405.15,1011.71,30931.04,423.87,16.16,5534.51,25396.53,0.1765,59346
47,mixed,16,14,2,16,31529.92,713794.30,1006.56,31100.74,429.18,15.78,5584.38,25516.35,0.1771,59346
48,mixed,16,14,2,16,31464.10,704378.56,1008.74,31035.52,428.58,15.87,5510.84,25524.68,0.1751,59346
49,mixed,16,14,2,16,31405.09,695522.50,1010.05,30977.76,427.33,15.90,5441.66,25536.10,0.1733,59346
50,mixed,16,14,2,16,31492.16,720162.24,1011.84,31063.30,428.86,16.90,5634.17,25429.12,0.1789,59346
51,mixed,16,14,2,16,23253.57,778933.95,1010.30,22824.96,428.61,18.43,6093.31,16731.65,0.2620,59346
52,mixed,16,13,3,16,29597.12,727043.07,1011.55,29173.57,423.55,18.34,5687.93,23485.64,0.1922,59346
53,mixed,16,13,3,16,29402.59,716932.13,1027.14,28977.70,424.90,17.15,5609.06,23368.64,0.1908,59346
54,mixed,16,13,3,16,29688.26,743138.91,1008.99,29257.47,430.78,16.99,5813.66,23443.82,0.1958,59346
55,mixed,16,13,3,16,29606.37,745507.10,1017.28,29182.18,424.19,18.82,5832.22,23349.95,0.1970,59346
56,mixed,16,13,3,16,29716.77,743440.70,1008.00,29295.68,421.09,16.90,5816.01,23479.67,0.1957,59346
57,mixed,16,13,3,16,29915.10,752279.01,1010.34,29489.60,425.50,16.86,5885.07,23604.53,0.1967,59346
58,mixed,16,13,3,16,29746.88,742712.26,1021.76,29320.64,426.24,17.22,5810.42,23510.22,0.1953,59346
59,mixed,16,13,3,16,29838.18,745440.99,1015.87,29412.51,425.66,16.83,5831.69,23580.82,0.1954,59346
60,mixed,16,13,3,16,30266.91,757545.92,1024.58,29836.74,430.18,16.80,5926.33,23910.40,0.1958,59346
61,mixed,16,13,3,16,30123.87,723917.38,1005.15,29696.93,426.94,17.86,5663.46,24033.47,0.1880,59346
62,mixed,16,13,3,16,30552.38,758131.14,1008.03,30119.52,432.86,17.57,5930.77,24188.75,0.1941,59346
63,mixed,16,13,3,16,30061.57,729087.10,997.34,29637.73,423.84,17.38,5703.78,23933.94,0.1897,59346
64,mixed,16,13,3,16,30077.18,737622.11,1017.76,29652.38,424.80,18.21,5770.62,23881.76,0.1919,59346
65,mixed,16,13,3,16,30323.78,738028.54,1010.46,29892.99,430.78,17.66,5773.74,24119.25,0.1904,59346
66,mixed,16,13,3,16,30588.67,757364.58,1017.38,30157.25,431.42,16.83,5924.86,24232.39,0.1937,59346
67,mixed,16,13,3,16,30673.28,759927.42,1002.08,30246.21,427.07,19.33,5944.76,24301.45,0.1938,59346
68,mixed,16,13,3,16,30707.23,749430.37,1011.36,30276.26,430.98,17.70,5862.83,24413.43,0.1909,59346
69,mixed,16,13,3,16,30452.35,733654.62,1019.87,30018.66,433.70,20.51,5739.64,24279.01,0.1885,59346
70,mixed,16,13,3,16,29616.10,785430.02,1026.40,29189.73,426.37,19.94,6144.19,23045.54,0.2075,59346
71,mixed,16,12,4,16,28833.82,789221.22,1010.18,28405.50,428.32,18.88,6173.68,22231.82,0.2141,59346
72,mixed,16,12,4,16,28640.61,755876.42,1015.49,28210.98,429.63,20.93,5913.22,22297.76,0.2065,59346
73,mixed,16,12,4,16,28565.54,753130.72,1011.49,28139.68,425.86,19.62,5891.74,22247.94,0.2063,59346
74,mixed,16,12,4,16,28164.74,728600.86,999.39,27729.25,435.49,19.49,5700.00,22029.25,0.2024,59346
75,mixed,16,12,4,16,28341.25,764425.15,1006.02,27909.34,431.90,19.58,5979.93,21929.41,0.2110,59346
76,mixed,16,12,4,16,28544.00,734074.08,1012.86,28111.58,432.42,20.93,5742.87,22368.72,0.2012,59346
