iter,phase,n_live,n_prefill,n_decode,tokens,iter_us,task_sum_us,sched_events_us,busy_any_us,dead_us,prepare_batch_us,perfect_pack_us,worker_idle_us,occupancy,n_tasks
0,prefill,1,1,0,16,18101.31,686827.74,955.74,17677.98,423.33,8.13,5373.31,12304.68,0.2968,41046
1,prefill,1,1,0,16,18431.04,658857.15,963.68,18014.27,416.77,6.02,5154.85,12859.42,0.2797,41046
2,prefill,1,1,0,16,18180.13,622353.18,958.05,17759.65,420.48,5.15,4869.62,12890.03,0.2679,41046
3,prefill,1,1,0,16,18123.71,630090.21,959.81,17705.22,418.50,5.50,4930.08,12775.14,0.2720,41046
4,prefill,1,1,0,16,18495.49,636560.51,967.46,18076.96,418.53,5.25,4980.69,13096.27,0.2693,41046
5,prefill,1,1,0,16,18471.42,631179.36,954.46,18050.05,421.38,5.22,4938.55,13111.50,0.2674,41046
6,prefill,1,1,0,16,18501.79,631716.83,976.13,18080.70,421.09,5.25,4942.91,13137.79,0.2672,41046
7,prefill,1,1,0,16,18607.33,642933.50,955.39,18193.63,413.70,5.50,5030.38,13163.25,0.2703,41046
8,prefill,1,1,0,16,18784.74,643311.74,958.30,18369.95,414.78,5.98,5033.36,13336.59,0.2679,41046
9,prefill,1,1,0,16,18807.90,625298.98,963.01,18392.83,415.07,5.54,4892.67,13500.16,0.2601,41046
10,prefill,1,1,0,16,18894.66,644366.08,955.07,18478.82,415.84,5.50,5041.57,13437.24,0.2668,41046
11,prefill,1,1,0,16,18765.31,625416.90,959.01,18345.31,420.00,5.25,4893.56,13451.75,0.2608,41046
12,prefill,1,1,0,16,19099.30,627451.20,950.98,18680.32,418.98,5.28,4909.39,13770.93,0.2570,41046
13,prefill,1,1,0,16,19114.34,643119.78,960.16,18697.09,417.25,5.47,5031.87,13665.21,0.2633,41046
14,prefill,1,1,0,16,19343.39,648089.76,953.06,18923.55,419.84,5.38,5070.65,13852.91,0.2621,41046
15,prefill,1,1,0,16,19068.51,622712.35,967.58,18649.34,419.17,4.48,4872.50,13776.84,0.2555,41046
16,decode_full,1,0,1,1,11264.29,248268.74,931.07,10825.47,438.82,4.22,1946.87,8878.60,0.1728,41046
17,decode_full,1,0,1,1,11245.50,248612.64,947.10,10801.86,443.65,4.16,1949.69,8852.17,0.1734,41046
18,decode_full,1,0,1,1,11248.38,248287.78,946.72,10797.38,451.01,4.16,1947.14,8850.23,0.1731,41046
19,decode_full,1,0,1,1,11257.47,248538.11,938.75,10809.66,447.81,4.10,1949.04,8860.63,0.1731,41046
20,decode_full,1,0,1,1,11254.02,248341.54,933.15,10808.03,445.98,4.13,1947.46,8860.57,0.1730,41046
21,decode_full,1,0,1,1,11259.97,248646.75,945.79,10815.68,444.29,4.45,1949.94,8865.74,0.1732,41046
22,decode_full,1,0,1,1,11253.47,248267.20,936.06,10814.02,439.46,4.35,1946.90,8867.12,0.1730,41046
23,decode_full,1,0,1,1,11255.20,248483.26,932.35,10810.82,444.38,4.35,1948.56,8862.26,0.1731,41046
24,decode_full,1,0,1,1,11252.99,248437.63,939.71,10805.50,447.49,4.42,1948.26,8857.24,0.1731,41046
25,decode_full,1,0,1,1,11256.61,248638.62,934.91,10816.22,440.38,4.16,1949.79,8866.43,0.1732,41046
26,decode_full,1,0,1,1,11257.92,248907.52,924.03,10813.92,444.00,4.42,1951.81,8862.11,0.1734,41046
27,decode_full,1,0,1,1,11262.02,248581.79,943.84,10820.86,441.15,4.22,1949.42,8871.44,0.1731,41046
28,decode_full,1,0,1,1,11258.11,248398.94,929.92,10812.80,445.31,4.13,1947.88,8864.92,0.1730,41046
29,decode_full,1,0,1,1,11250.34,248316.70,936.67,10806.05,444.29,4.35,1947.29,8858.76,0.1731,41046
30,decode_full,1,0,1,1,11261.34,248499.20,941.06,10819.55,441.79,4.22,1948.75,8870.80,0.1730,41046
31,decode_full,1,0,1,1,11260.10,248591.90,932.29,10818.43,441.66,4.32,1949.41,8869.02,0.1731,41046
