iter,phase,n_live,n_prefill,n_decode,tokens,iter_us,task_sum_us,sched_events_us,busy_any_us,dead_us,prepare_batch_us,perfect_pack_us,worker_idle_us,occupancy,n_tasks
0,prefill,1,1,0,16,18221.09,689164.83,948.26,17794.24,426.85,8.58,5391.51,12402.73,0.2959,43926
1,prefill,1,1,0,16,18538.75,661904.67,951.07,18115.52,423.23,5.82,5178.56,12936.96,0.2793,43926
2,prefill,1,1,0,16,18306.72,625978.05,956.03,17885.50,421.22,6.02,4897.92,12987.58,0.2675,43926
3,prefill,1,1,0,16,24868.10,1017860.38,961.92,24442.98,425.12,8.26,7959.55,16483.43,0.3201,43926
4,prefill,1,1,0,16,38690.72,976493.98,985.63,38261.82,428.90,8.22,7636.56,30625.26,0.1974,43926
5,prefill,1,1,0,16,20739.97,681746.14,977.89,20312.03,427.94,8.48,5333.78,14978.25,0.2572,43926
6,prefill,1,1,0,16,20834.46,724950.75,970.85,20394.98,439.49,8.13,5671.26,14723.71,0.2722,43926
7,prefill,1,1,0,16,18737.60,645900.22,947.81,18316.26,421.34,6.75,5053.50,13262.76,0.2697,43926
8,prefill,1,1,0,16,26519.04,1069925.31,970.98,26087.07,431.97,8.58,8366.38,17720.69,0.3155,43926
9,prefill,1,1,0,16,44401.98,1670234.21,992.80,43963.58,438.40,8.42,13056.46,30907.12,0.2941,43926
10,prefill,1,1,0,16,44715.74,1414484.13,3497.50,44283.04,432.70,8.61,11077.98,33205.06,0.2477,43926
11,prefill,1,1,0,16,41975.17,1341301.47,982.05,41544.06,431.10,8.93,10486.59,31057.47,0.2498,43926
12,prefill,1,1,0,16,44636.58,1393168.32,988.83,41696.74,2939.84,8.16,10891.85,30804.88,0.2440,43926
13,prefill,1,1,0,16,44957.09,1182726.08,994.05,44519.26,437.82,8.51,9247.81,35271.45,0.2057,43926
14,prefill,1,1,0,16,26718.24,848808.26,967.84,26285.95,432.29,8.61,6638.88,19647.08,0.2485,43926
15,prefill,1,1,0,16,19219.84,623477.76,941.22,18797.95,421.89,5.22,4878.27,13919.68,0.2538,43926
16,decode_full,1,0,1,1,10349.31,233475.33,929.50,9904.80,444.51,4.26,1831.29,8073.51,0.1769,43926
17,decode_full,1,0,1,1,10318.14,232859.10,929.06,9873.60,444.54,4.64,1826.47,8047.13,0.1770,43926
18,decode_full,1,0,1,1,10342.27,233300.80,922.69,9898.34,443.94,4.26,1829.87,8068.47,0.1769,43926
19,decode_full,1,0,1,1,10343.20,233305.02,914.91,9899.42,443.78,4.45,1829.84,8069.58,0.1769,43926
20,decode_full,1,0,1,1,10334.11,233545.98,918.08,9890.02,444.10,4.51,1831.75,8058.27,0.1773,43926
21,decode_full,1,0,1,1,10325.28,233299.97,937.25,9882.78,442.50,4.22,1829.98,8052.81,0.1772,43926
22,decode_full,1,0,1,1,10327.68,233070.14,919.58,9880.90,446.78,4.93,1828.04,8052.85,0.1770,43926
23,decode_full,1,0,1,1,10345.06,233086.75,928.48,9898.82,446.24,4.64,1828.24,8070.57,0.1767,43926
24,decode_full,1,0,1,1,10339.17,233148.00,920.93,9890.02,449.15,4.42,1828.66,8061.35,0.1769,43926
25,decode_full,1,0,1,1,10322.78,233367.97,929.12,9879.01,443.78,4.64,1830.45,8048.56,0.1773,43926
26,decode_full,1,0,1,1,10328.54,233263.07,930.30,9882.53,446.02,4.29,1829.64,8052.89,0.1771,43926
27,decode_full,1,0,1,1,10337.89,233305.34,920.83,9887.68,450.21,4.38,1829.89,8057.79,0.1770,43926
28,decode_full,1,0,1,1,10343.87,233419.17,928.26,9892.74,451.14,4.67,1830.84,8061.90,0.1770,43926
29,decode_full,1,0,1,1,10334.82,233391.65,920.54,9886.59,448.22,4.35,1830.56,8056.03,0.1771,43926
30,decode_full,1,0,1,1,10333.73,233011.90,917.25,9897.60,436.13,4.16,1827.57,8070.03,0.1769,43926
31,decode_full,1,0,1,1,10327.17,233281.47,927.71,9883.74,443.42,4.13,1829.76,8053.98,0.1772,43926
32,decode_full,1,0,1,1,10342.37,233248.77,924.58,9892.83,449.54,4.64,1829.48,8063.35,0.1769,43926
33,decode_full,1,0,1,1,10342.98,233280.06,928.06,9896.26,446.72,4.26,1829.75,8066.51,0.1769,43926
34,decode_full,1,0,1,1,10344.99,233192.26,918.40,9894.21,450.78,4.22,1828.99,8065.22,0.1768,43926
35,decode_full,1,0,1,1,10350.11,233273.86,931.10,9906.11,444.00,4.58,1829.73,8076.39,0.1768,43926
36,decode_full,1,0,1,1,10349.70,233552.58,913.12,9909.38,440.32,4.45,1831.76,8077.61,0.1770,43926
37,decode_full,1,0,1,1,10335.78,233096.77,926.46,9884.96,450.82,4.19,1828.31,8056.65,0.1769,43926
38,decode_full,1,0,1,1,10339.97,233418.24,930.59,9892.58,447.39,4.51,1830.85,8061.73,0.1771,43926
39,decode_full,1,0,1,1,10342.78,233275.68,933.44,9895.46,447.33,4.61,1829.76,8065.70,0.1769,43926
40,decode_full,1,0,1,1,10337.15,233131.36,919.97,9896.64,440.51,4.42,1828.53,8068.11,0.1769,43926
41,decode_full,1,0,1,1,10346.40,233283.20,908.42,9900.32,446.08,4.26,1829.62,8070.70,0.1768,43926
42,decode_full,1,0,1,1,10338.08,233202.62,923.68,9889.54,448.54,4.45,1829.11,8060.42,0.1769,43926
43,decode_full,1,0,1,1,10334.56,233599.65,916.48,9895.14,439.42,4.19,1832.16,8062.98,0.1773,43926
