iter,phase,n_live,n_prefill,n_decode,tokens,iter_us,task_sum_us,sched_events_us,busy_any_us,dead_us,prepare_batch_us,perfect_pack_us,worker_idle_us,occupancy,n_tasks
0,prefill,1,1,0,16,17617.86,649193.92,966.24,17193.86,424.00,8.13,5079.38,12114.48,0.2883,43926
1,prefill,1,1,0,16,18373.66,625806.05,958.37,17947.07,426.59,6.40,4896.60,13050.48,0.2665,43926
2,prefill,1,1,0,16,18396.70,623242.21,958.40,17972.77,423.94,5.57,4876.57,13096.20,0.2651,43926
3,prefill,1,1,0,16,18240.06,623979.81,959.71,17815.58,424.48,5.54,4882.34,12933.24,0.2677,43926
4,prefill,1,1,0,16,18684.70,628627.81,959.01,18258.11,426.59,6.53,4918.65,13339.47,0.2632,43926
5,prefill,1,1,0,16,18461.44,637889.98,954.56,18038.30,423.14,6.27,4990.97,13047.33,0.2703,43926
6,prefill,1,1,0,16,18739.52,653217.02,963.23,18317.06,422.46,5.86,5110.78,13206.27,0.2727,43926
7,prefill,1,1,0,16,18646.11,617460.64,960.54,18214.59,431.52,6.02,4831.42,13383.18,0.2591,43926
8,prefill,1,1,0,16,18839.55,640349.89,954.27,18416.22,423.33,6.43,5010.19,13406.04,0.2659,43926
9,prefill,1,1,0,16,18934.14,650882.34,957.50,18509.95,424.19,6.02,5092.50,13417.45,0.2690,43926
10,prefill,1,1,0,16,18780.29,633032.06,968.42,18355.71,424.58,5.25,4953.13,13402.58,0.2637,43926
11,prefill,1,1,0,16,18971.46,643345.73,952.22,18548.19,423.26,5.06,5033.58,13514.61,0.2653,43926
12,prefill,1,1,0,16,19156.38,641129.95,953.92,18736.99,419.39,6.56,5016.28,13720.71,0.2619,43926
13,prefill,1,1,0,16,19259.52,637669.15,956.67,18835.87,423.65,6.43,4989.26,13846.61,0.2591,43926
14,prefill,1,1,0,16,19269.18,656402.21,956.67,18844.13,425.06,6.78,5135.62,13708.51,0.2665,43926
15,prefill,1,1,0,16,19217.02,637755.14,957.06,18795.30,421.73,5.09,4989.94,13805.36,0.2597,43926
16,decode_full,1,0,1,1,10324.26,234168.35,934.27,9883.33,440.93,4.32,1836.74,8046.59,0.1779,43926
17,decode_full,1,0,1,1,10314.24,233958.40,930.14,9871.62,442.62,4.61,1835.07,8036.55,0.1779,43926
18,decode_full,1,0,1,1,10292.13,233872.58,929.09,9849.38,442.75,4.70,1834.39,8014.99,0.1782,43926
19,decode_full,1,0,1,1,10324.83,233649.15,934.91,9884.29,440.54,4.96,1832.69,8051.60,0.1775,43926
20,decode_full,1,0,1,1,10318.75,233858.21,924.03,9872.51,446.24,4.32,1834.24,8038.28,0.1778,43926
21,decode_full,1,0,1,1,10307.55,233740.67,942.62,9863.74,443.81,4.64,1833.46,8030.28,0.1779,43926
22,decode_full,1,0,1,1,10326.88,233828.35,919.68,9877.38,449.50,4.64,1833.97,8043.41,0.1776,43926
23,decode_full,1,0,1,1,10312.32,233729.66,922.43,9866.24,446.08,4.48,1833.22,8033.02,0.1778,43926
24,decode_full,1,0,1,1,10318.30,233842.14,927.52,9869.18,449.12,4.67,1834.14,8035.05,0.1778,43926
25,decode_full,1,0,1,1,10329.34,233752.86,938.14,9883.07,446.27,4.86,1833.52,8049.55,0.1775,43926
26,decode_full,1,0,1,1,10334.62,233800.80,929.47,9889.76,444.86,4.64,1833.83,8055.93,0.1774,43926
27,decode_full,1,0,1,1,10315.23,233641.92,925.34,9867.10,448.13,4.48,1832.56,8034.55,0.1777,43926
28,decode_full,1,0,1,1,10334.62,233702.05,934.56,9886.88,447.74,4.64,1833.10,8053.78,0.1774,43926
29,decode_full,1,0,1,1,10322.59,233646.21,932.10,9884.74,437.86,4.67,1832.64,8052.09,0.1775,43926
30,decode_full,1,0,1,1,10328.80,234106.94,925.54,9893.18,435.62,4.42,1836.19,8056.99,0.1778,43926
31,decode_full,1,0,1,1,10336.19,233964.61,931.58,9889.63,446.56,4.48,1835.13,8054.51,0.1775,43926
32,decode_full,1,0,1,1,10332.51,233744.61,921.06,9892.61,439.90,4.51,1833.33,8059.28,0.1774,43926
