iter,phase,n_live,n_prefill,n_decode,tokens,iter_us,task_sum_us,sched_events_us,busy_any_us,dead_us,prepare_batch_us,perfect_pack_us,worker_idle_us,occupancy,n_tasks
0,prefill,16,16,0,16,29690.94,751316.13,965.57,29261.15,429.79,14.43,5877.20,23383.95,0.1979,59346
1,prefill,16,16,0,16,23990.98,784147.52,963.65,23555.84,435.14,14.27,6133.68,17422.16,0.2557,59346
2,mixed,16,15,1,16,31495.17,752292.83,960.74,31069.12,426.05,15.78,5884.79,25184.33,0.1868,59346
3,mixed,16,15,1,16,22194.59,785669.60,967.20,21766.37,428.22,16.64,6145.60,15620.77,0.2769,59346
4,mixed,16,14,2,16,30217.95,787820.03,969.44,29783.14,434.82,17.41,6162.42,23620.72,0.2039,59346
5,mixed,16,14,2,16,25793.63,831969.02,974.59,25361.18,432.45,16.16,6507.37,18853.81,0.2523,59346
6,mixed,16,13,3,16,29201.98,815493.82,962.02,28770.62,431.36,16.83,6378.56,22392.06,0.2184,59346
7,mixed,16,13,3,16,29100.38,808812.54,973.02,28666.05,434.34,18.24,6326.45,22339.60,0.2174,59346
8,mixed,16,13,3,16,24047.46,878189.06,961.95,23619.20,428.26,18.91,6868.37,16750.83,0.2856,59346
9,mixed,16,12,4,16,28223.30,865190.34,968.03,27789.44,433.86,20.58,6766.86,21022.58,0.2398,59346
10,mixed,16,12,4,16,25771.23,889952.61,961.15,25330.30,440.93,20.83,6960.26,18370.04,0.2701,59346
11,mixed,16,11,5,16,27319.33,924945.60,960.77,26879.07,440.26,20.61,7233.64,19645.43,0.2648,59346
12,mixed,16,11,5,16,27174.37,917992.99,972.83,26743.36,431.01,21.28,7179.42,19563.94,0.2642,59346
13,mixed,16,11,5,16,27357.76,937265.82,976.42,26929.73,428.03,22.66,7330.02,19599.71,0.2679,59346
14,mixed,16,11,5,16,23213.89,952774.11,969.70,22780.51,433.38,22.98,7451.12,15329.39,0.3210,59346
15,mixed,16,10,6,16,26493.66,958330.43,968.96,26061.44,432.22,22.50,7494.53,18566.91,0.2829,59346
16,mixed,16,10,6,16,27258.37,1011634.18,971.49,26822.66,435.71,23.10,7910.98,18911.67,0.2902,59346
17,mixed,16,10,6,16,26665.76,980374.18,972.83,26233.60,432.16,24.48,7666.77,18566.83,0.2875,59346
18,mixed,16,9,7,16,23615.55,1026655.01,982.53,23183.10,432.45,23.68,8028.42,15154.69,0.3400,59346
19,mixed,16,9,7,16,25717.73,1025708.67,969.09,25281.31,436.42,24.70,8020.92,17260.39,0.3119,59346
20,mixed,16,9,7,16,25967.94,1036189.47,964.54,25530.75,437.18,25.06,8102.77,17427.99,0.3120,59346
21,mixed,16,9,7,16,25956.96,1025540.80,974.50,25522.05,434.91,24.83,8019.65,17502.40,0.3090,59346
22,mixed,16,9,7,16,23851.97,1036461.95,959.46,23411.87,440.10,26.24,8104.85,15307.02,0.3398,59346
23,mixed,16,8,8,16,24741.79,1063519.30,977.38,24303.81,437.98,25.41,8316.38,15987.43,0.3361,59346
24,mixed,16,8,8,16,24651.65,1070666.66,967.74,24215.87,435.78,26.27,8372.14,15843.73,0.3396,59346
25,mixed,16,8,8,16,25426.53,1094804.90,987.84,24994.34,432.19,26.18,8560.88,16433.46,0.3367,59346
26,mixed,16,8,8,16,25434.78,1089164.86,970.14,24996.96,437.82,26.24,8516.68,16480.28,0.3348,59346
27,mixed,16,8,8,16,25875.71,1105675.10,987.30,25440.61,435.10,27.42,8645.80,16794.81,0.3341,59346
28,mixed,16,8,8,16,20845.95,1140448.58,979.84,20422.27,423.68,27.49,8917.41,11504.86,0.4278,59346
29,mixed,16,7,9,16,25061.89,1143384.10,967.97,24632.06,429.82,28.10,8940.25,15691.81,0.3567,59346
30,mixed,16,7,9,16,25122.21,1146515.33,982.18,24679.23,442.98,27.23,8964.82,15714.41,0.3568,59346
31,mixed,16,7,9,16,24980.51,1151009.09,978.34,24550.02,430.50,28.64,8999.90,15550.11,0.3603,59346
32,mixed,16,7,9,16,24968.13,1145668.06,974.98,24537.25,430.88,27.78,8958.15,15579.10,0.3588,59346
33,mixed,16,7,9,16,25047.01,1153244.32,986.34,24614.08,432.93,27.94,9017.43,15596.65,0.3600,59346
34,mixed,16,7,9,16,24821.47,1155455.52,979.23,24386.91,434.56,28.32,9034.65,15352.27,0.3640,59346
35,mixed,16,7,9,16,24986.82,1142526.02,981.54,24551.14,435.68,28.13,8933.65,15617.48,0.3575,59346
36,mixed,16,7,9,16,25283.74,1158047.90,968.45,24854.11,429.63,29.34,9054.82,15799.30,0.3581,59346
