bs,arm,rep,wall_ms,ms_per_step,steps,pinned_dev,pinned_used_mib,tokens_sha256
1,A,0,1096.150390625,11.418233235677084,96,7,70,21bd850d90b01edc77d1e21dd27a6f7660f33ee24aab6ab5dbaa6fc6fa493c48
1,A,1,1093.4271240234375,11.38986587524414,96,7,68,ad5239e4f5dfd303b08cca1ae30f515c644734768b0dd0246483a65469caae4d
1,A,2,1094.5582275390625,11.4016482035319,96,7,66,21bd850d90b01edc77d1e21dd27a6f7660f33ee24aab6ab5dbaa6fc6fa493c48
1,B,0,1049.7159423828125,10.93454106648763,96,7,2656,21bd850d90b01edc77d1e21dd27a6f7660f33ee24aab6ab5dbaa6fc6fa493c48
1,B,1,1046.379150390625,10.89978281656901,96,7,68,ad5239e4f5dfd303b08cca1ae30f515c644734768b0dd0246483a65469caae4d
1,B,2,1051.865478515625,10.956932067871094,96,7,66,21bd850d90b01edc77d1e21dd27a6f7660f33ee24aab6ab5dbaa6fc6fa493c48
2,A,0,1264.17529296875,13.168492635091146,96,7,66,e1e264118e2002e43966c426137395f8815e5903e7c1dc1cc90a6ce9a6c126c8
2,A,1,1271.38330078125,13.243576049804688,96,7,66,2d88b743b728bab509e805ea26228d7973ed9f32b79a5ea484b37b872c013f57
2,A,2,1266.727783203125,13.195081075032553,96,7,68,033dba6bc077b02f4f2291896d8d5e6f32eee41ffe15b064d6fc78cfa30bd902
2,B,0,1215.2373046875,12.658721923828125,96,7,68,e1e264118e2002e43966c426137395f8815e5903e7c1dc1cc90a6ce9a6c126c8
2,B,1,1227.6756591796875,12.788288116455078,96,7,66,2d88b743b728bab509e805ea26228d7973ed9f32b79a5ea484b37b872c013f57
2,B,2,1217.5394287109375,12.6827023824056,96,7,66,033dba6bc077b02f4f2291896d8d5e6f32eee41ffe15b064d6fc78cfa30bd902
4,A,0,1637.817138671875,17.0605951944987,96,7,66,5f6983e881c653e63feef34ed4ef6f463c9b070a4d27e85d721aacdc7373a2c4
4,A,1,1637.655029296875,17.05890655517578,96,7,66,3d36355426cfa6e589ce3694baaf776a64746db4b5169a5a57a207e8af7b3922
4,A,2,1626.94384765625,16.94733174641927,96,7,68,078c632c0f586dd23aa30799d5d14c6ebee5a71db363dc9d6a4beff8b096eb02
4,B,0,1544.254150390625,16.085980733235676,96,7,68,5f6983e881c653e63feef34ed4ef6f463c9b070a4d27e85d721aacdc7373a2c4
4,B,1,1598.215576171875,16.64807891845703,96,7,68,3d36355426cfa6e589ce3694baaf776a64746db4b5169a5a57a207e8af7b3922
4,B,2,1559.255126953125,16.24224090576172,96,7,68,078c632c0f586dd23aa30799d5d14c6ebee5a71db363dc9d6a4beff8b096eb02
8,A,0,2503.760986328125,26.080843607584637,96,7,68,7ce24b63c9210685e014c68213ed50601b5a7011c9c19b3646e5b87451f2ea50
8,A,1,2492.914306640625,25.967857360839844,96,7,68,a86132db067241788b283d668d2afaea70eeca72c5c1ee58a8a22d7b250f6e61
8,A,2,2498.077880859375,26.021644592285156,96,7,68,eea275e7ef5ce3b51d005c886feacd7b7b0cbfdc4f741d25c1e0fe2752bf43a5
8,B,0,2411.7578125,25.122477213541668,96,7,68,7ce24b63c9210685e014c68213ed50601b5a7011c9c19b3646e5b87451f2ea50
8,B,1,2402.62109375,25.027303059895832,96,7,68,a86132db067241788b283d668d2afaea70eeca72c5c1ee58a8a22d7b250f6e61
8,B,2,2407.171875,25.07470703125,96,7,68,eea275e7ef5ce3b51d005c886feacd7b7b0cbfdc4f741d25c1e0fe2752bf43a5
16,A,0,3807.016845703125,39.65642547607422,96,7,68,e09df5c67d351993aba08c9712c5e345b2f89316925edd0c5424fcbb22c2a099
16,A,1,3824.201416015625,39.83543141682943,96,7,68,22c1720fa6c0c145029d659c7ee34d1bdf84f27dbd4d65ddca1448feb32adf06
16,A,2,3807.013671875,39.656392415364586,96,7,68,8c9bcf2d79c46671893b1635d522a1dfd8189088a170087d48f9d029ba7d1f9a
16,B,0,3678.4443359375,38.31712849934896,96,7,68,e09df5c67d351993aba08c9712c5e345b2f89316925edd0c5424fcbb22c2a099
16,B,1,3690.29833984375,38.44060770670573,96,7,68,22c1720fa6c0c145029d659c7ee34d1bdf84f27dbd4d65ddca1448feb32adf06
16,B,2,3688.480712890625,38.42167409261068,96,7,68,8c9bcf2d79c46671893b1635d522a1dfd8189088a170087d48f9d029ba7d1f9a
